run_id,n_steps,n_configs,seeds,worlds,rank1,ArionAgentGame,ArionAgentSearch,ArionAgent,ArionAgentHybrid,SyncRandomStdAgent,GreedyStdAgent
1,10,2,"11,22",4,ArionAgentGame,1.0599,0.9681,1.0496,1.0440,0.9673,0.6401
2,15,3,"11,22",6,ArionAgentGame,1.0705,1.0261,1.0517,1.0105,0.9083,0.7908
3,15,2,"33,44,55",6,ArionAgentSearch,1.0639,1.0828,1.0394,1.0004,1.0201,0.7440
4,12,2,"11,22,33",6,ArionAgentGame,1.0662,0.9345,1.0358,1.0476,1.0199,0.7374

# Pooled average mean score (4 independent tournaments):
# ArionAgentGame:     1.0652  (rank #1 in 3/4 runs)
# ArionAgentSearch:   1.0029  (rank #1 in 1/4 runs)
# ArionAgent (game):  1.0441
# ArionAgentHybrid:   1.0256
# SyncRandomStdAgent: 0.9789
# GreedyStdAgent:     0.7281
